delivery_id	item_id	item_name	item_version_name	score	manual_score	points	total_seconds	start	end	block_idx	block_len	is_excluded	item_idx	item_type	key	option_score	option_scores	presented	response	response_text	status	group_id	delivery_score	delivery_passed	form_id	form_name
03199100-99c9-477e-987f-6e8f0ea817ef	200c2f77-1fe2-453d-a48d-bd134d82f0e8	100	100_4_Innovation in Naval Warfare_v1	0.0		1.0	29.454216	2025-10-02T23:11:34.179963	2025-10-02T23:12:03.634179	11	1	False	11	multiple_choice	[1, 0, 0, 0]		[0, 1, 1, 0]	[1, 2, 3, 0]	[3]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	59b2265c-23e6-493e-a853-79b6a8e5c9d5	100	100_2_German Invasion of Poland_v1	0.0		1.0	11.580668	2025-10-02T23:10:12.912332	2025-10-02T23:10:24.493000	6	1	False	6	multiple_choice	[1, 0, 0, 0]		[0, 1, 0, 1]	[3, 2, 0, 1]	[2]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	a26a85d2-62e0-4e23-bdf7-d9454f196b38	100	100_2_Strategic Technology in WWII_v1	0.0		1.0	14.66466	2025-10-02T23:10:24.938251	2025-10-02T23:10:39.602911	7	1	False	7	multiple_choice	[1, 0, 0, 0]		[0, 1, 1, 0]	[1, 2, 0, 3]	[3]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	b73068b6-e92b-44b5-ada9-1118745df76c	100	100_2_Causes of World War II_v1	1.0		1.0	9.254246	2025-10-02T23:12:32.793805	2025-10-02T23:12:42.048051	15	1	False	15	multiple_choice	[1, 0, 0, 0]		[1, 1, 1, 1]	[3, 0, 1, 2]	[0]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	86696367-7549-474b-a035-f1a2d3d14e83	500	500_8_US Economic Dominance Post-WWII_v1	1.0		1.0	19.519914	2025-10-02T23:13:58.869300	2025-10-02T23:14:18.389214	23	1	False	23	multiple_choice	[1, 0, 0, 0]		[1, 1, 1, 1]	[2, 3, 0, 1]	[0]		final	4bad8d63-3d5a-4b5d-8211-8430531a78fe	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	1959488e-af20-4500-b0d7-3b07b78351dd	100	100_2_Allied Landings in France_v1	1.0		1.0	16.927035	2025-10-02T23:08:14.214052	2025-10-02T23:08:31.141087	0	1	False	0	multiple_choice	[1, 0, 0, 0]		[1, 1, 1, 1]	[1, 3, 0, 2]	[0]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	07db8247-ebfb-493f-929d-a558c342ff71	100	100_1_Outcome of the Battle of Stalingrad_v1	0.0		1.0	21.150403	2025-10-02T23:10:56.048474	2025-10-02T23:11:17.198877	9	1	False	9	multiple_choice	[1, 0, 0, 0]		[0, 1, 1, 0]	[1, 3, 0, 2]	[3]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	691ecb93-d087-4b04-a266-fa7d8bfc3611	100	100_4_Allied Economic Advantage_v1	0.0		1.0	29.936907	2025-10-02T23:08:51.748517	2025-10-02T23:09:21.685424	2	1	False	2	multiple_choice	[1, 0, 0, 0]		[0, 0, 1, 1]	[0, 3, 1, 2]	[1]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	94cb0a83-97ca-4684-b3ea-695489a7e952	100	100_3_Soviet War Crimes Against Polish Officers_v1	0.0		1.0	10.063249	2025-10-02T23:13:26.994193	2025-10-02T23:13:37.057442	19	1	False	19	multiple_choice	[1, 0, 0, 0]		[0, 0, 1, 1]	[1, 2, 3, 0]	[1]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
03199100-99c9-477e-987f-6e8f0ea817ef	72947c07-bdab-4d39-b5fc-1dacf5975617	100	100_4_Creation of the United Nations_v1	1.0		1.0	18.117661	2025-10-02T23:09:54.360358	2025-10-02T23:10:12.478019	5	1	False	5	multiple_choice	[1, 0, 0, 0]		[1, 1, 1, 1]	[0, 1, 3, 2]	[0]		final	default	55.20833		7a11e5f0-9640-4425-ad80-04f555cbeca6	1000_chat
